mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
25.668,2.9514,10.5812,-0.58107,-0.58107,0.0645766
25.4421,2.97719,11.223,-0.614054,-0.614054,0.0681563
25.3872,2.9602,11.4584,-0.665556,-0.665556,0.0770086
25.5664,2.96772,12.6176,-0.65081,-0.65081,0.0716984
25.5131,2.99722,10.9689,-0.566157,-0.566157,0.0692744
25.1745,2.97699,9.98459,-0.572405,-0.572405,0.0746438
25.4362,2.98084,11.252,-0.562797,-0.562797,0.060526
25.2204,2.96714,11.1931,-0.662615,-0.662615,0.0783212
25.3365,2.96848,11.7773,-0.66197,-0.66197,0.0774255
25.7161,2.96308,10.6169,-0.555961,-0.555961,0.0653112
25.6669,2.96557,10.5233,-0.564911,-0.564911,0.0671812
25.4288,2.94733,10.1564,-0.533445,-0.533445,0.0635743
25.5013,2.95817,10.5972,-0.598692,-0.598692,0.0676435
25.7915,2.95674,10.8241,-0.623076,-0.623076,0.073869
25.7472,2.94176,10.4882,-0.517549,-0.517549,0.0584364
25.4675,2.96443,11.2233,-0.639203,-0.639203,0.0728698
25.398,2.95925,10.0725,-0.538473,-0.538473,0.0623665
25.5955,2.9627,10.1094,-0.549973,-0.549973,0.0674261
25.5055,2.94751,12.1994,-0.627823,-0.627823,0.0717455
25.5264,2.96702,11.2602,-0.664649,-0.664649,0.0722937
25.3317,2.96985,11.8921,-0.628565,-0.628565,0.0627588
25.7477,2.95644,10.5588,-0.581745,-0.581745,0.070981
25.5914,2.94608,10.7584,-0.575116,-0.575116,0.0684196
25.7758,2.94555,11.1177,-0.596028,-0.596028,0.0655777
25.1278,2.98039,11.9763,-0.676516,-0.676516,0.0774994
25.5606,2.94537,9.85643,-0.499984,-0.499984,0.0580565
25.4898,2.97884,9.8416,-0.547904,-0.547904,0.0690353
25.7135,2.93456,11.9495,-0.631485,-0.631485,0.0662167
25.7897,2.94329,10.6273,-0.612087,-0.612087,0.0717693
25.5334,2.95451,11.7449,-0.617451,-0.617451,0.0620421
25.5406,2.96224,10.492,-0.560051,-0.560051,0.0621022
25.1988,2.97712,11.4739,-0.619234,-0.619234,0.0675269
25.3052,2.9871,11.6898,-0.702433,-0.702433,0.0777348
25.6314,2.96387,12.4618,-0.631162,-0.631162,0.0657415
25.5542,2.95447,11.0406,-0.667329,-0.667329,0.0743637
25.5981,2.96062,11.1277,-0.546055,-0.546055,0.0639572
25.4646,2.95911,10.5919,-0.630233,-0.630233,0.073603
25.6183,2.96517,10.8627,-0.554235,-0.554235,0.068963
25.456,2.96781,9.08272,-0.522777,-0.522777,0.0734463
25.5376,2.95665,10.6815,-0.482332,-0.482332,0.0547119
25.6332,2.95848,10.0946,-0.506141,-0.506141,0.0592443
25.534,2.95339,9.58033,-0.475192,-0.475192,0.0569534
25.5979,2.96425,10.7053,-0.54115,-0.54115,0.0610951
25.4999,2.95587,10.1099,-0.571429,-0.571429,0.0685213
25.6312,2.95376,9.81295,-0.558582,-0.558582,0.0660429
25.6408,2.94326,11.3538,-0.554213,-0.554213,0.0609176
25.5587,2.96617,9.91972,-0.586404,-0.586404,0.0715835
