measured_from,datetime,lat,lng,precise
P1,2022-06-22 10:59:27,46.5213611111111,6.57385277777778,on
P1,2022-06-22 11:00:26,46.5213611111111,6.57385277777778,on
P1,2022-06-22 11:01:05,46.5213611111111,6.57385277777778,on
P1,2022-06-22 11:01:42,46.5213611111111,6.57385277777778,on
P1,2022-06-22 11:02:02,46.5213611111111,6.57385277777778,on
P1,2022-06-22 11:02:15,46.5213611111111,6.57385277777778,on
P1,2022-06-22 11:02:35,46.5213666666667,6.57380833333333,on
P1,2022-06-22 11:03:01,46.5213666666667,6.57379722222222,on
P1,2022-06-22 11:03:36,46.5213666666667,6.57379722222222,on
P1,2022-06-22 11:04:29,46.5213666666667,6.57379722222222,on
P1,2022-06-22 11:05:03,46.5214833333333,6.57366388888889,on
P1,2022-06-22 11:05:32,46.5214888888889,6.57366111111111,on
P1,2022-06-22 11:05:45,46.5214888888889,6.57366111111111,on
P1,2022-06-22 11:06:17,46.5214888888889,6.57366111111111,on
P1,2022-06-22 11:06:41,46.5214888888889,6.57366111111111,on
P1,2022-06-22 11:07:34,46.5214888888889,6.57366111111111,on
P1,2022-06-22 11:08:00,46.5214888888889,6.57366111111111,on
P1,2022-06-22 11:08:30,46.5214888888889,6.57366111111111,on
P1,2022-06-22 11:09:02,46.5213555555556,6.57389444444444,on
P1,2022-06-22 11:09:10,46.5213555555556,6.57389444444444,on
P1,2022-06-22 11:09:25,46.5213472222222,6.57390555555556,on
P1,2022-06-22 11:09:46,46.5213444444444,6.57390833333333,on
P1,2022-06-22 11:10:26,46.5213444444444,6.57390833333333,on
P1,2022-06-22 11:10:57,46.5213916666667,6.57371944444444,on
P1,2022-06-22 11:11:05,46.5214083333333,6.57373611111111,on
P1,2022-06-22 11:12:41,46.5214111111111,6.57374166666667,on
P1,2022-06-22 11:13:22,46.5214,6.57383888888889,on
P1,2022-06-22 11:13:49,46.5214,6.57384722222222,on
P1,2022-06-22 11:14:32,46.5214,6.57384722222222,on
P1,2022-06-22 11:14:47,46.5214,6.57384722222222,on
P1,2022-06-22 11:15:12,46.5214,6.57384722222222,on
P1,2022-06-22 11:15:34,46.5213972222222,6.57381111111111,on
P1,2022-06-22 11:16:17,46.5213916666667,6.57381111111111,on
P1,2022-06-22 11:16:41,46.5213916666667,6.57381111111111,on
P1,2022-06-22 11:17:30,46.5214194444444,6.57373333333333,on
P1,2022-06-22 11:17:53,46.5213916666667,6.573825,on
P1,2022-06-22 11:18:11,46.5214277777778,6.57383611111111,on
P1,2022-06-22 11:18:55,46.5214361111111,6.57383888888889,on
P1,2022-06-22 11:19:43,46.52135,6.57387777777778,on
P1,2022-06-22 11:20:19,46.52135,6.57388055555556,on
P1,2022-06-22 11:21:05,46.52135,6.57388055555556,on
P1,2022-06-22 11:21:40,46.52135,6.573875,on
P1,2022-06-22 11:22:19,46.5213555555556,6.573875,on
P1,2022-06-22 11:23:29,46.5213555555556,6.573875,on
P1,2022-06-22 11:23:56,46.5213555555556,6.573875,on
P1,2022-06-22 11:24:15,46.5213555555556,6.573875,on
P1,2022-06-22 11:25:02,46.5213555555556,6.573875,on
