mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
10.6281,3.18397,4.84652,2.06103,2.06103,2.82671
10.6107,3.16508,4.94076,1.84679,1.84679,2.64459
10.6275,3.03347,4.19968,2.16825,2.16825,2.49437
10.553,3.19623,4.46365,1.74911,1.74911,1.92374
10.5885,2.95602,3.37026,1.76574,1.76574,2.49547
10.3977,2.86278,4.7104,1.96645,1.96645,3.22524
11.2438,3.37952,5.50267,2.73043,2.73043,2.21497
10.9016,3.50219,5.93529,3.10874,3.10874,3.3986
10.5619,3.08307,5.04825,2.52927,2.52927,2.5056
10.7326,3.13241,4.17381,1.79323,1.79323,2.34027
10.5985,3.23316,3.50703,1.8429,1.8429,2.56575
10.6253,3.08806,4.37178,1.67581,1.67581,1.85044
10.6566,3.21742,4.33161,2.01697,2.01697,2.33315
10.6659,3.12858,4.81828,2.46159,2.46159,2.66697
10.5942,3.27717,5.43829,2.35319,2.35319,2.24576
10.4328,2.88133,4.35822,2.42281,2.42281,2.69681
10.7082,3.25368,5.12754,2.1779,2.1779,2.24806
10.5872,3.19942,5.00064,2.58989,2.58989,2.78393
10.7962,3.04624,5.35982,2.69798,2.69798,2.66836
10.5052,3.18026,4.81544,2.47922,2.47922,2.77419
10.6347,2.99458,5.51109,2.8026,2.8026,3.08753
10.7639,2.9251,5.20115,2.5476,2.5476,2.7951
10.4229,3.37523,4.37686,2.46495,2.46495,3.24599
11.151,3.5683,5.42677,2.46192,2.46192,2.2122
11.1126,3.46555,4.92293,3.01892,3.01892,3.25936
10.9666,3.47123,5.6253,2.55047,2.55047,2.64679
10.7279,3.26515,4.63457,2.38296,2.38296,2.42456
10.6822,3.21769,4.49121,2.06764,2.06764,2.36334
10.3449,2.82851,3.96275,1.8629,1.8629,2.14302
10.7204,3.28524,4.68541,2.15676,2.15676,2.26107
10.7711,3.13436,4.22211,1.92942,1.92942,2.17466
10.6898,3.29837,4.24091,2.13383,2.13383,2.18273
10.7402,3.16714,4.67419,2.26236,2.26236,2.31993
10.7173,3.21935,4.45453,2.30274,2.30274,2.79465
10.6815,3.25684,4.89142,2.234,2.234,2.73831
10.8013,3.23115,5.07511,2.27171,2.27171,2.53023
10.7369,3.27718,3.98823,1.96811,1.96811,2.27484
10.6864,3.20049,5.30636,2.51789,2.51789,2.61455
10.7554,3.09443,3.84686,2.10526,2.10526,3.08892
10.807,3.159,4.5775,2.18295,2.18295,2.54022
10.6171,3.14276,4.77449,2.30542,2.30542,2.58014
10.5967,3.14049,4.94263,2.31853,2.31853,2.55344
10.8058,3.32635,4.45242,1.89548,1.89548,2.11017
