,datetime,measured_from,precise,lat,lng,ghpe
165,2024:04:02 14:30:25,P2,off,46.049816666666665,14.497625,5972.520491803279
166,2024:04:02 14:25:35,P3,off,46.049816666666665,14.497625,5972.520491803279
167,2024:04:02 14:19:55,P1,on,46.0507,14.469452777777779,4.593674996470422
168,2024:04:02 14:17:01,P2,on,46.050911111111105,14.468372222222222,4.768717346199035
169,2024:04:02 14:16:32,P2,on,46.050925,14.468441666666667,4.593676239181747
170,2024:04:02 14:17:03,P2,on,46.050911111111105,14.468380555555555,4.773691220161869
171,2024:04:02 14:23:13,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
172,2024:04:02 14:19:53,P1,on,46.0507,14.469452777777779,4.59367498799808
173,2024:04:02 14:23:25,P3,on,46.05014444444444,14.468591666666667,4.7292824353708625
174,2024:04:02 14:23:11,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
175,2024:04:02 14:20:03,P1,on,46.0507,14.469452777777779,4.593674996470422
176,2024:04:02 14:23:09,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
177,2024:04:02 14:23:14,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
178,2024:04:02 14:23:05,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
179,2024:04:02 14:25:36,P3,off,46.049816666666665,14.497625,5972.520491803279
180,2024:04:02 14:20:19,P1,on,46.05073055555555,14.46945,4.740037900018683
181,2024:04:02 14:20:32,P1,on,46.050725,14.469436111111111,4.738001645488619
182,2024:04:02 14:23:19,P3,on,46.05014444444444,14.468591666666667,4.723447256493017
183,2024:04:02 14:20:40,P1,on,46.050725,14.469436111111111,4.735991058122206
184,2024:04:02 14:25:50,P3,off,46.049816666666665,14.497625,5972.520491803279
185,2024:04:02 14:30:29,P2,off,46.049816666666665,14.497625,5972.520491803279
186,2024:04:02 14:23:02,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
187,2024:04:02 14:17:35,P2,on,46.050925,14.468441666666667,3.5355339046563916
188,2024:04:02 14:23:16,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
189,2024:04:02 14:30:03,P2,off,46.049816666666665,14.497625,5972.520491803279
190,2024:04:02 14:20:31,P1,on,46.050725,14.469436111111111,4.738828043808458
191,2024:04:02 14:23:21,P3,on,46.05014444444444,14.468591666666667,4.723331820245121
192,2024:04:02 14:23:44,P3,on,46.05014444444444,14.468591666666667,4.731721963669119
193,2024:04:02 14:30:09,P2,off,46.049816666666665,14.497625,5972.520491803279
194,2024:04:02 14:25:47,P3,off,46.049816666666665,14.497625,5972.520491803279
195,2024:04:02 14:23:48,P3,on,46.050124999999994,14.468619444444444,4.730863963622585
196,2024:04:02 14:20:08,P1,on,46.0507,14.469452777777779,4.73680177764156
197,2024:04:02 14:19:51,P1,on,46.0507,14.469452777777779,4.59367498799808
198,2024:04:02 14:30:35,P2,off,46.049816666666665,14.497625,5972.520491803279
199,2024:04:02 14:20:25,P1,on,46.05072777777777,14.469436111111111,4.740595158269556
200,2024:04:02 14:20:13,P1,on,46.05073055555555,14.46945,4.739176721078779
201,2024:04:02 14:17:57,P2,on,46.050925,14.468441666666667,4.593676239181747
202,2024:04:02 14:19:43,P1,on,46.050725,14.469472222222223,3.5355339046563916
203,2024:04:02 14:25:39,P3,off,46.049816666666665,14.497625,5972.520491803279
204,2024:04:02 14:30:28,P2,off,46.049816666666665,14.497625,5972.520491803279
205,2024:04:02 14:23:41,P3,on,46.05014444444444,14.468591666666667,4.731950107939554
206,2024:04:02 14:23:09,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
207,2024:04:02 14:17:02,P2,on,46.050911111111105,14.468372222222222,4.768717346199035
208,2024:04:02 14:16:58,P2,on,46.05090277777777,14.468375,4.7605026256564145
209,2024:04:02 14:25:45,P3,off,46.049816666666665,14.497625,5972.520491803279
210,2024:04:02 14:20:26,P1,on,46.05072777777777,14.469436111111111,4.740486039296794
211,2024:04:02 14:23:36,P3,on,46.05014444444444,14.468591666666667,4.731399335982148
212,2024:04:02 14:23:35,P3,on,46.05014444444444,14.468591666666667,4.731380274529741
213,2024:04:02 14:32:36,P1,off,46.049816666666665,14.497625,5972.520491803279
214,2024:04:02 14:20:33,P1,on,46.050725,14.469436111111111,4.736289828431373
215,2024:04:02 14:25:34,P3,off,46.049816666666665,14.497625,5972.520491803279
216,2024:04:02 14:30:36,P2,off,46.049816666666665,14.497625,5972.520491803279
217,2024:04:02 14:32:31,P1,off,46.049816666666665,14.497625,5972.520491803279
218,2024:04:02 14:17:48,P2,on,46.050925,14.468441666666667,4.593676241371632
219,2024:04:02 14:30:33,P2,off,46.049816666666665,14.497625,5972.520491803279
220,2024:04:02 14:30:10,P2,off,46.049816666666665,14.497625,5972.520491803279
221,2024:04:02 14:20:12,P1,on,46.05073055555555,14.46945,4.738517372679676
222,2024:04:02 14:20:39,P1,on,46.050725,14.469436111111111,4.735649674528701
223,2024:04:02 14:30:04,P2,off,46.049816666666665,14.497625,5972.520491803279
224,2024:04:02 14:16:49,P2,on,46.05090833333333,14.468422222222223,4.77327761047262
225,2024:04:02 14:25:52,P3,off,46.049816666666665,14.497625,5972.520491803279
226,2024:04:02 14:32:17,P1,off,46.049816666666665,14.497625,5972.520491803279
227,2024:04:02 14:16:33,P2,on,46.050925,14.468441666666667,4.593676228628658
228,2024:04:02 14:16:25,P2,on,46.050925,14.468441666666667,4.593676239181747
229,2024:04:02 14:30:32,P2,off,46.049816666666665,14.497625,5972.520491803279
230,2024:04:02 14:20:04,P1,on,46.0507,14.469452777777779,4.593674996470422
231,2024:04:02 14:16:29,P2,on,46.050925,14.468441666666667,4.593676239181747
232,2024:04:02 14:17:52,P2,on,46.050925,14.468441666666667,4.593676239181747
233,2024:04:02 14:20:17,P1,on,46.05073055555555,14.46945,4.7400038020404285
234,2024:04:02 14:23:47,P3,on,46.050124999999994,14.468619444444444,4.738613812264338
235,2024:04:02 14:32:16,P1,off,46.049816666666665,14.497625,5972.520491803279
236,2024:04:02 14:16:55,P2,on,46.05090277777777,14.468380555555555,4.768463956000786
237,2024:04:02 14:25:38,P3,off,46.049816666666665,14.497625,5972.520491803279
238,2024:04:02 14:23:23,P3,on,46.05014444444444,14.468591666666667,4.725912506709608
239,2024:04:02 14:20:13,P1,on,46.05073055555555,14.46945,4.73939560063044
240,2024:04:02 14:25:51,P3,off,46.049816666666665,14.497625,5972.520491803279
241,2024:04:02 14:17:47,P2,on,46.050925,14.468441666666667,4.593676241371632
242,2024:04:02 14:19:43,P1,on,46.05071944444444,14.469463888888889,3.5355339046563916
243,2024:04:02 14:22:55,P3,on,46.050124999999994,14.4686,3.5355339046563916
244,2024:04:02 14:19:47,P1,on,46.0507,14.469452777777779,3.5355339046563916
245,2024:04:02 14:16:54,P2,on,46.05090277777777,14.468380555555555,4.778501195854371
246,2024:04:02 14:17:39,P2,on,46.050925,14.468441666666667,3.5355339046563916
247,2024:04:02 14:32:42,P1,off,46.049816666666665,14.497625,5972.520491803279
248,2024:04:02 14:22:59,P3,on,46.050124999999994,14.4686,4.593675307961022
249,2024:04:02 14:16:58,P2,on,46.05090277777777,14.46836388888889,4.760572716425825
250,2024:04:02 14:23:05,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
251,2024:04:02 14:19:50,P1,on,46.0507,14.469452777777779,4.593674981734683
252,2024:04:02 14:32:29,P1,off,46.049816666666665,14.497625,5972.520491803279
253,2024:04:02 14:17:35,P2,on,46.050925,14.468441666666667,3.5355339046563916
254,2024:04:02 14:20:22,P1,on,46.05073055555555,14.46945,4.7398665982555155
255,2024:04:02 14:19:49,P1,on,46.0507,14.469452777777779,4.593674981734683
256,2024:04:02 14:20:19,P1,on,46.05073055555555,14.46945,4.739374561335101
257,2024:04:02 14:23:22,P3,on,46.05014444444444,14.468591666666667,4.723914037494285
258,2024:04:02 14:25:43,P3,off,46.049816666666665,14.497625,5972.520491803279
259,2024:04:02 14:25:34,P3,off,46.049816666666665,14.497625,5972.520491803279
260,2024:04:02 14:23:34,P3,on,46.05014444444444,14.468591666666667,4.731349395945669
261,2024:04:02 14:23:44,P3,on,46.05014444444444,14.468591666666667,4.731721963669119
262,2024:04:02 14:20:12,P1,on,46.05073055555555,14.46945,4.739176721078779
263,2024:04:02 14:25:41,P3,off,46.049816666666665,14.497625,5972.520491803279
264,2024:04:02 14:20:24,P1,on,46.05073055555555,14.46945,4.739161399448055
265,2024:04:02 14:23:30,P3,on,46.05014444444444,14.468591666666667,4.72915847424302
266,2024:04:02 14:25:31,P3,off,46.049816666666665,14.497625,5972.520491803279
267,2024:04:02 14:20:09,P1,on,46.05073055555555,14.46945,4.740751186950595
268,2024:04:02 14:30:05,P2,off,46.049816666666665,14.497625,5972.520491803279
269,2024:04:02 14:30:15,P2,off,46.049816666666665,14.497625,5972.520491803279
270,2024:04:02 14:30:16,P2,off,46.049816666666665,14.497625,5972.520491803279
271,2024:04:02 14:30:37,P2,off,46.049816666666665,14.497625,5972.520491803279
272,2024:04:02 14:17:51,P2,on,46.050925,14.468441666666667,4.593676239181747
273,2024:04:02 14:16:31,P2,on,46.050925,14.468441666666667,4.593676239181747
274,2024:04:02 14:16:59,P2,on,46.05090277777777,14.46836388888889,4.760572716425825
275,2024:04:02 14:20:34,P1,on,46.050725,14.469436111111111,4.735319454414932
276,2024:04:02 14:19:45,P1,on,46.05070555555555,14.469458333333334,3.5355339046563916
277,2024:04:02 14:32:35,P1,off,46.049816666666665,14.497625,5972.520491803279
278,2024:04:02 14:19:58,P1,on,46.0507,14.469452777777779,4.593674996470422
279,2024:04:02 14:16:20,P2,on,46.050925,14.468441666666667,4.593676239181747
280,2024:04:02 14:25:58,P3,off,46.049816666666665,14.497625,5972.520491803279
281,2024:04:02 14:20:15,P1,on,46.05073055555555,14.46945,4.73969226172692
282,2024:04:02 14:26:41,P3,off,46.049816666666665,14.497625,5972.520491803279
283,2024:04:02 14:32:28,P1,off,46.049816666666665,14.497625,5972.520491803279
284,2024:04:02 14:30:08,P2,off,46.049816666666665,14.497625,5972.520491803279
285,2024:04:02 14:32:44,P1,off,46.049816666666665,14.497625,5972.520491803279
286,2024:04:02 14:20:14,P1,on,46.05073055555555,14.46945,4.73939560063044
287,2024:04:02 14:32:23,P1,off,46.049816666666665,14.497625,5972.520491803279
288,2024:04:02 14:20:34,P1,on,46.050725,14.469436111111111,4.736289828431373
289,2024:04:02 14:23:35,P3,on,46.05014444444444,14.468591666666667,4.731349395945669
290,2024:04:02 14:17:55,P2,on,46.050925,14.468441666666667,4.593676239181747
291,2024:04:02 14:17:01,P2,on,46.050911111111105,14.468366666666666,4.764883915415555
292,2024:04:02 14:20:35,P1,on,46.050725,14.469436111111111,4.735319454414932
293,2024:04:02 14:23:29,P3,on,46.05014444444444,14.468591666666667,4.72915847424302
294,2024:04:02 14:17:37,P2,on,46.050925,14.468441666666667,3.5355339046563916
295,2024:04:02 14:16:26,P2,on,46.050925,14.468441666666667,4.593676239181747
296,2024:04:02 14:23:08,P3,on,46.05014444444444,14.468591666666667,4.593675322606341
297,2024:04:02 14:17:41,P2,on,46.050925,14.468441666666667,3.5355339046563916
298,2024:04:02 14:32:25,P1,off,46.049816666666665,14.497625,5972.520491803279
299,2024:04:02 14:32:35,P1,off,46.049816666666665,14.497625,5972.520491803279
300,2024:04:02 14:30:05,P2,off,46.049816666666665,14.497625,5972.520491803279
301,2024:04:02 14:20:09,P1,on,46.0507,14.469452777777779,4.737625032059502
302,2024:04:02 14:23:38,P3,on,46.05014444444444,14.468591666666667,4.732253346833165
303,2024:04:02 14:19:46,P1,on,46.05070555555555,14.469458333333334,3.5355339046563916
304,2024:04:02 14:19:58,P1,on,46.0507,14.469452777777779,4.593674996470422
305,2024:04:02 14:23:00,P3,on,46.050124999999994,14.4686,4.593675307961022
306,2024:04:02 14:19:44,P1,on,46.050713888888886,14.46946111111111,3.5355339046563916
307,2024:04:02 14:22:55,P3,on,46.050124999999994,14.468602777777777,3.5355339046563916
308,2024:04:02 14:32:43,P1,off,46.049816666666665,14.497625,5972.520491803279
309,2024:04:02 14:16:46,P2,on,46.050911111111105,14.468436111111112,4.7710201429499675
