mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
0.494305,2.825,0.0832519,0.0748261,0.0748261,3.75021
0.511877,3.16935,0.0887033,0.00655598,0.00655598,2.43239
0.539769,2.8894,0.0678987,0.0783262,0.0783262,2.79852
0.503915,2.8225,0.0703324,0.0534638,0.0534638,2.80636
0.536156,3.05417,0.0764811,0.129876,0.129876,2.93578
0.527189,2.7739,0.0713028,0.0236523,0.0236523,3.08133
0.531475,2.93479,0.0716263,0.0507461,0.0507461,2.43674
0.532023,2.89149,0.0606184,0.0404943,0.0404943,2.42274
0.515241,3.03177,0.0670378,0.0676584,0.0676584,3.36472
0.497737,2.81121,0.0729402,0.046968,0.046968,2.58761
0.510537,2.70773,0.0642167,0.132709,0.132709,2.69055
0.492669,2.72709,0.0657132,0.108938,0.108938,2.82718
0.534349,3.08762,0.0804627,0.122162,0.122162,3.83183
0.499296,2.99932,0.0726149,0.0717414,0.0717414,2.39371
0.51181,2.88025,0.0841885,0.0876765,0.0876765,3.19374
0.536068,2.99388,0.0661375,0.0788708,0.0788708,2.78783
0.528228,2.90819,0.0777287,0.0626754,0.0626754,2.83039
0.551852,2.98076,0.0634855,0.0901722,0.0901722,3.60087
0.493024,3.05292,0.083398,0.0552975,0.0552975,3.31371
0.53877,2.77376,0.0859598,0.0839835,0.0839835,2.77817
0.520462,2.82112,0.097133,0.132655,0.132655,2.85422
0.539714,3.32102,0.0605715,0.0500233,0.0500233,3.54255
0.520182,2.89031,0.0745279,0.0886304,0.0886304,2.87569
0.523856,3.11154,0.0788512,0.0361798,0.0361798,2.49155
0.570731,2.87886,0.0821147,0.192296,0.192296,3.88148
0.498691,2.95344,0.0752777,0.0337487,0.0337487,2.09113
0.542005,2.79415,0.0773777,0.165318,0.165318,4.58223
0.53395,3.00577,0.0871935,0.103471,0.103471,4.22821
0.523234,2.8696,0.0618273,0.0534929,0.0534929,2.2674
0.546215,3.01485,0.0728105,0.0240585,0.0240585,3.03106
0.508448,2.78868,0.0759055,0.138862,0.138862,3.04392
0.53919,2.78258,0.0759694,0.0822043,0.0822043,3.37328
0.534275,3.02152,0.0777384,0.0872253,0.0872253,2.82771
0.513081,3.01969,0.0852174,0.0367452,0.0367452,4.18269
0.510468,3.14595,0.0811912,0.0793265,0.0793265,3.76043
0.482546,2.87462,0.0935476,0.119875,0.119875,3.21744
0.556488,2.96917,0.0730836,0.0268372,0.0268372,3.00264
0.514027,2.79195,0.0813927,0.143879,0.143879,3.05276
0.519095,2.91056,0.087003,0.158856,0.158856,3.52988
0.532087,2.92464,0.0704482,0.0214858,0.0214858,2.54649
0.539811,2.90137,0.0684019,0.0266027,0.0266027,2.79461
0.503174,3.06561,0.0629364,0.0186062,0.0186062,3.58321
0.54309,2.91866,0.0851492,0.0406459,0.0406459,3.25145
