log_likelihood_ratio,likelihood_ratio,prob_A
904.191,0.0,
1768.47,inf,
735.348,4.391e-320,
9103.6,0.0,
11266.5,inf,
456.186,1.31539e+198,
1818.17,0.0,0.0
1124.76,0.0,
3698.84,inf,
2609.31,inf,
2893.29,inf,
3995.78,inf,
1992.91,inf,
4689.58,0.0,
2641.82,0.0,
1463.92,0.0,
43.1141,5.29922e+18,
2841.78,inf,
3040.57,inf,
2027.24,0.0,
3545.8,0.0,
2839.63,inf,
1819.81,inf,
2032.43,inf,
4422.06,inf,
5641.52,inf,
6263.23,inf,
11192.8,inf,
4617.6,inf,
2972.75,inf,
1596.04,inf,
572.527,4.41817e+248,
2181.46,inf,
5916.03,inf,
6864.28,inf,
8405.4,inf,1.0
6279.96,inf,
6592.75,inf,
7142.25,inf,
10603.0,inf,
943.103,inf,
4101.07,inf,
10067.5,inf,
4084.77,inf,
4315.32,inf,
4743.09,0.0,
3486.42,0.0,
3409.53,0.0,
3560.22,0.0,
6023.86,inf,
8109.41,inf,
7388.94,inf,
869.8,inf,
3284.47,inf,
4207.52,0.0,
3608.37,inf,
7344.12,inf,
4766.66,inf,
450.314,2.6996e-196,
1750.11,0.0,
1053.76,inf,
1235.54,inf,
2592.32,inf,
8187.56,inf,
98.0396,3.78475e+42,
675.401,4.75562e-294,
6018.76,0.0,
1519.84,inf,
7749.72,0.0,
2659.73,0.0,
4492.89,0.0,
8533.64,inf,
957.14,0.0,
8041.86,inf,1.0
4101.48,inf,
2547.73,inf,
17.7959,53535300.0,
6738.59,inf,
3604.64,inf,
1249.39,inf,
847.095,inf,
4899.56,inf,
15047.1,inf,
15125.0,inf,
1183.99,inf,
5266.24,inf,
7662.7,inf,
3635.19,inf,
4001.35,inf,
2426.88,inf,
14232.3,inf,
2982.35,inf,
2701.3,inf,
2973.77,0.0,
6111.5,inf,
3357.33,0.0,
3904.51,0.0,
3669.16,0.0,
529.944,7.04944e-231,
3545.32,0.0,
1331.89,0.0,
313.945,4.52302e-137,
1716.05,inf,
2868.28,0.0,
1169.33,0.0,
5230.72,0.0,
7635.54,inf,
3080.57,0.0,
2047.74,inf,
2233.32,inf,
2514.84,0.0,
7041.01,inf,
5076.69,inf,
917.595,0.0,
5447.44,inf,
4135.41,inf,
479.327,1.47549e+208,
1571.26,inf,
112.823,9.96255e+48,
1157.21,0.0,
637.535,7.54873e+276,
470.509,4.57824e-205,
6307.21,inf,
9066.03,inf,
4549.65,inf,
16315.8,inf,
270.698,3.65225e+117,
3948.8,inf,
709.093,9.01816e+307,
5085.27,inf,
435.241,9.48655e-190,
4997.63,inf,
8962.14,inf,
4400.09,inf,
4281.98,inf,
8430.69,inf,
5724.08,inf,
10270.2,0.0,
100.858,1.57761e-44,
2230.06,inf,1.0
185.5,2.74413e-81,
283.945,2.06922e+123,
619.236,1.17334e-269,
1159.67,0.0,
688.305,8.4572e+298,
583.186,1.88207e+253,
4792.6,inf,
8987.85,inf,
728.681,3.45094e-317,
3283.96,inf,
1728.85,inf,
3231.85,0.0,
1189.93,0.0,
3532.01,0.0,
1107.05,inf,1.0
98.5878,6.54867e+42,
1210.68,inf,
7033.24,0.0,
275.061,2.86818e+119,
3005.94,inf,
136.143,7.48222e-60,
655.577,5.17007e+284,
2879.77,0.0,
3086.65,inf,
3211.8,inf,
4505.95,inf,
4221.67,inf,
3996.6,inf,
3436.28,inf,
2469.88,inf,
4266.59,0.0,
2537.19,inf,
11756.3,inf,
60.3798,1.66956e+26,
543.661,7.7771e-237,
12975.4,inf,
2303.87,0.0,
1311.79,0.0,
4998.62,inf,
1050.08,0.0,
2286.44,0.0,
1116.26,0.0,
1708.91,inf,
5943.37,inf,
1972.19,inf,
1044.61,0.0,
3294.95,0.0,
403.019,1.06863e+175,
4580.5,inf,
3974.31,inf,
9094.34,inf,
3627.97,inf,
5640.36,inf,
12691.0,inf,
3657.16,inf,
4398.01,inf,
5900.9,inf,
2691.46,inf,
4041.25,0.0,
776.516,0.0,
401.278,5.33434e-175,
7546.58,inf,
4872.0,inf,
1622.18,inf,
6902.64,0.0,
7723.84,inf,
7823.65,0.0,0.0
11371.8,inf,
1800.01,inf,
4791.17,inf,
5558.38,inf,
9744.93,inf,
9861.95,inf,
7305.98,inf,
36.259,1.7903e-16,
7922.64,inf,
3759.49,inf,
978.592,0.0,
823.962,0.0,
3381.24,0.0,
6755.6,inf,
1915.95,inf,
428.85,5.66172e-187,
670.917,2.37388e+291,
6396.83,inf,
1918.87,inf,
6650.14,inf,
3801.37,0.0,
300.03,4.99529e-131,
3062.2,0.0,
1487.11,inf,
795.633,0.0,
72.9731,2.03324e-32,
11218.0,0.0,
583.246,1.99864e+253,
2475.6,inf,
8391.24,inf,
133.97,6.56685e-59,
3941.28,inf,
2347.0,inf,
5709.32,inf,1.0
2384.53,inf,1.0
2408.28,0.0,
2610.89,0.0,
270.203,2.22621e+117,1.0
695.01,1.44944e-302,
8937.14,inf,
3571.29,inf,
5061.99,inf,
1719.25,inf,
3711.44,inf,
6159.68,inf,
2512.22,inf,
2814.67,inf,
2596.0,0.0,
16692.4,inf,
4185.33,inf,
701.51,2.17832e-305,
7786.82,inf,
4114.1,inf,
294.174,5.72965e+127,
1505.03,inf,
3374.18,inf,
10917.8,inf,
2496.72,0.0,
2577.97,inf,
9023.86,inf,
4300.9,inf,1.0
4362.4,inf,
973.514,0.0,
4174.88,inf,1.0
4385.4,0.0,
1253.93,inf,
1676.57,inf,
1002.14,0.0,
5794.48,0.0,
2992.92,inf,
479.609,1.95589e+208,
820.576,0.0,
2762.49,inf,
2623.04,0.0,
2720.82,inf,
2793.06,inf,
84.2333,2.61795e-37,
135.237,5.40338e+58,
1345.53,0.0,
10902.4,inf,
2122.62,0.0,
3212.8,0.0,
5498.67,0.0,
1465.66,0.0,
1389.53,0.0,
4493.4,0.0,
7066.23,0.0,
2249.32,inf,
1765.58,0.0,
2706.18,0.0,
120.965,2.92186e-53,
8845.87,inf,
1385.92,0.0,
2182.67,0.0,0.0
377.45,1.1903e-164,
323.475,3.28676e-141,
1558.1,inf,1.0
4308.43,inf,
27045.2,inf,1.0
949.368,0.0,
1058.71,0.0,
1700.88,0.0,
2726.52,0.0,
3077.71,0.0,
9382.6,inf,
2697.56,0.0,
90.7199,2.50695e+39,
696.135,4.70485e-303,
7766.99,inf,
15038.2,inf,
11385.7,inf,
1210.79,inf,
2832.87,inf,
4671.59,0.0,
3914.42,inf,
1475.77,inf,
3004.15,inf,
3049.67,0.0,
2606.71,inf,
1640.22,inf,
12995.6,inf,
4350.53,0.0,
1665.67,0.0,
2394.24,0.0,
23768.0,inf,
6141.21,inf,
7385.05,inf,
526.486,2.23989e-229,
4739.75,inf,
1986.42,0.0,
4336.27,0.0,
302.219,1.78658e+131,
3061.75,0.0,
552.128,6.10961e+239,
193.889,6.23683e-85,
9558.46,inf,
3553.03,0.0,
5642.91,inf,
5619.93,inf,
4055.26,inf,
6659.94,inf,
3027.81,0.0,
2334.6,inf,
1315.39,0.0,
2075.06,0.0,
3889.0,0.0,
1172.09,inf,
12226.4,inf,
1236.42,inf,
2550.26,inf,
17231.2,inf,
769.353,inf,
471.183,4.28922e+204,
2242.57,0.0,
8.43475,4604.33,
14527.3,inf,
3524.98,inf,
3648.16,0.0,
10781.0,inf,
1695.99,inf,
12153.3,inf,
1373.46,inf,
19581.5,inf,
1873.35,0.0,
1610.67,0.0,
3360.57,inf,
3582.99,0.0,
600.364,1.84154e-261,
2570.32,0.0,0.0
4692.38,0.0,
3630.96,inf,
1362.27,0.0,
7396.72,inf,
3497.44,0.0,
1123.76,inf,
4024.13,inf,
5162.62,inf,
4455.0,inf,
2345.81,inf,1.0
1644.12,inf,1.0
3461.02,inf,1.0
852.333,inf,
777.626,0.0,
4398.03,inf,
3265.59,inf,
7986.85,inf,
1906.06,inf,
3075.72,inf,
4209.43,inf,
375.927,5.45667e-164,
746.9,0.0,
2053.83,0.0,
518.302,8.02512e-226,
48.4395,1.08892e+21,
845.193,inf,
1363.78,0.0,
40.0991,2.59906e+17,
146.819,5.78762e+63,
2083.55,inf,
3369.72,inf,
6135.03,inf,
11823.2,inf,
4401.62,0.0,
1855.22,0.0,
2632.75,0.0,
3111.27,0.0,
1051.11,0.0,
2985.49,0.0,
3424.32,inf,
8278.38,inf,
3605.43,inf,
4460.37,inf,
5888.67,inf,
4296.71,inf,
1110.53,0.0,
1901.52,inf,
2530.6,inf,
1562.01,0.0,
4234.4,0.0,
3330.87,0.0,
3139.34,inf,
5403.39,inf,
896.401,inf,
2580.24,0.0,
1189.02,0.0,
1360.33,0.0,
6921.67,inf,
4086.34,0.0,
2906.93,0.0,
861.9,inf,
1414.36,0.0,
28033.4,inf,
4652.71,0.0,
6438.73,inf,
3220.27,inf,
2836.94,inf,
807.903,inf,
11515.4,inf,
3250.61,0.0,
755.623,0.0,
8102.85,inf,1.0
1998.58,inf,
10111.2,inf,
2778.96,inf,
1903.82,0.0,
4381.49,inf,
3001.49,inf,
4122.46,inf,
2110.98,inf,
4432.73,inf,
2661.48,0.0,
2252.89,0.0,
3823.61,0.0,
2778.31,inf,
6401.1,inf,
6296.13,inf,
2489.49,inf,
2239.83,inf,
9716.89,inf,
7262.56,0.0,
7922.8,inf,
2465.79,inf,
2738.53,0.0,
2721.52,0.0,
712.263,inf,
4026.56,inf,
8996.5,inf,
11385.4,inf,
5111.35,inf,
9233.15,inf,
7268.86,inf,
2470.34,inf,
11310.1,inf,
11781.2,inf,
1773.55,inf,
5708.29,0.0,
1608.16,0.0,
1373.37,0.0,
2322.53,0.0,
879.567,0.0,
38.3632,2.1832e-17,
3788.77,0.0,0.0
6943.48,0.0,0.0
4222.25,0.0,
3038.75,0.0,
1607.8,inf,
8944.2,inf,
4398.34,inf,
1571.77,inf,
7341.47,inf,
4600.46,0.0,
2055.03,inf,
1297.05,inf,
1205.2,0.0,
1308.43,inf,
16968.0,inf,
730.235,inf,
987.066,0.0,
734.835,inf,
3250.25,0.0,
4150.45,0.0,
2191.06,0.0,
3440.8,0.0,0.0
2540.86,0.0,0.0
3806.31,0.0,
3273.05,0.0,
4650.93,0.0,
3574.61,0.0,
1387.5,0.0,
